Date,S&P_500,NASDAQ,Dow_Jones
12/13/1985,209.94,324,1535.21
12/20/1985,210.94,323.1,1543
12/27/1985,209.61,322.8,1543
1/3/1986,210.88,325.7,1549.2
1/10/1986,205.96,324.4,1513.53
1/17/1986,208.43,330.7,1536.7
1/24/1986,206.43,328.9,1529.93
1/31/1986,211.78,335.8,1570.99
2/7/1986,214.56,342.2,1613.42
2/14/1986,219.76,350.2,1664.45
2/21/1986,224.62,355.65,1697.71
2/28/1986,226.92,359.5,1709.06
3/7/1986,225.57,362.2,1699.83
3/14/1986,236.55,371.8,1792.74
3/21/1986,233.34,372.6,1768.56
3/27/1986,238.97,373.3,1821.72
4/4/1986,228.69,372.2,1739.22
4/11/1986,235.97,378.9,1790.18
4/18/1986,242.38,390.1,1840.4
4/25/1986,242.29,392.3,1835.57
5/2/1986,234.79,383.2,1774.68
5/9/1986,237.85,389.1,1789.43
5/16/1986,232.76,384.7,1759.8
5/23/1986,241.35,391.9,1823.29
5/30/1986,247.35,400.2,1876.71
6/6/1986,245.67,400.3,1885.9
6/13/1986,245.73,399.6,1874.19
6/20/1986,247.58,396.9,1879.54
6/27/1986,249.6,403.6,1885.26
7/3/1986,251.79,411.2,1900.87
7/11/1986,242.22,391.6,1821.43
7/18/1986,236.36,381.1,1777.98
7/25/1986,240.22,379.8,1810.04
8/1/1986,234.91,370.7,1763.64
8/8/1986,236.88,365.8,1782.62
8/15/1986,247.15,380.2,1855.6
8/22/1986,250.19,381.5,1887.8
8/29/1986,252.93,382.9,1898.34
9/5/1986,250.47,378.4,1899.75
9/12/1986,230.67,346.8,1758.72
9/19/1986,232.21,349.4,1762.65
9/26/1986,232.23,351.6,1769.69
10/3/1986,233.71,352.8,1774.18
10/10/1986,235.48,353.5,1793.17
10/17/1986,238.84,355.7,1837.04
10/24/1986,238.26,356.7,1832.36
10/31/1986,243.98,360.8,1877.71
11/7/1986,245.77,361,1886.53
11/14/1986,244.5,358.5,1873.59
11/21/1986,245.86,354.7,1893.56
11/28/1986,249.22,359.6,1914.23
12/5/1986,251.17,363,1925.06
12/12/1986,247.35,355.9,1912.26
12/19/1986,249.73,352.2,1928.85
12/26/1986,246.92,349.9,1930.4
1/2/1987,246.45,353.2,1927.31
1/9/1987,258.73,380.7,2005.91
1/16/1987,266.28,389.9,2076.63
1/23/1987,270.1,392.2,2101.52
1/30/1987,274.08,392.1,2158.04
2/6/1987,280.04,406.9,2186.87
2/13/1987,279.7,412.5,2183.35
2/20/1987,285.48,417.2,2235.24
2/27/1987,284.2,425,2223.99
3/6/1987,290.66,429.5,2280.23
3/13/1987,289.89,432,2258.66
3/20/1987,298.17,439.6,2333.52
3/27/1987,296.13,436.6,2335.8
4/3/1987,300.41,437.4,2390.34
4/10/1987,292.49,430.9,2338.78
4/16/1987,286.91,419.5,2275.99
4/24/1987,281.52,412.6,2235.37
5/1/1987,288.03,418.4,2280.4
5/8/1987,293.37,423.2,2322.3
5/15/1987,287.43,418.9,2272.52
5/22/1987,282.16,407.4,2243.2
5/29/1987,290.1,416.5,2291.57
6/5/1987,293.45,417.8,2326.15
6/12/1987,301.62,425.4,2377.73
6/19/1987,306.97,429.1,2420.85
6/26/1987,307.16,426.7,2436.86
7/2/1987,305.63,425.9,2436.7
7/10/1987,308.37,426,2455.99
7/17/1987,314.59,434.1,2510.04
7/24/1987,309.27,429.1,2485.33
7/31/1987,318.66,434.9,2572.07
8/7/1987,323,443.6,2592
8/14/1987,333.99,451.6,2685.43
8/21/1987,335.9,455.2,2709.5
8/28/1987,327.04,453.3,2639.35
9/4/1987,316.7,446.5,2561.38
9/11/1987,321.98,446.2,2608.74
9/18/1987,314.86,440.9,2524.64
9/25/1987,320.16,441.9,2570.17
10/2/1987,328.07,451.6,2640.99
10/9/1987,311.07,438.4,2482.21
10/16/1987,282.7,406.3,2246.73
10/23/1987,248.22,328.5,1950.76
10/30/1987,251.79,323.3,1993.53
11/6/1987,250.41,326.4,1959.05
11/13/1987,245.64,323,1935.01
11/20/1987,242,312.5,1913.63
11/27/1987,240.34,316.5,1910.48
12/4/1987,223.92,292.9,1766.74
12/11/1987,235.32,302.6,1867.04
12/18/1987,249.16,326.9,1975.3
