,Unnamed: 0,location,side_a,side_b,territory_name,start_date,start_date2,region,type_of_conflict,S&P_500,NASDAQ,Dow_Jones
175,1748,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
176,1749,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
177,1750,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
178,1751,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,4,95.1,105.05,831.17
179,1752,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
180,1753,Mozambique,Government of Mozambique,Renamo,,1977-12-31,1977-12-31,4,3,95.1,105.05,831.17
181,1754,Mozambique,Government of Mozambique,Renamo,,1977-12-31,2013-10-12,4,3,1703.2,3791.87,15237.11
182,1755,Mozambique,Government of Mozambique,Renamo,,1977-12-31,2013-10-12,4,3,1703.2,3791.87,15237.11
183,1756,Mozambique,Government of Mozambique,Renamo,,1977-12-31,2016-04-10,4,3,2047.6,4850.69,17576.96
184,1757,Mozambique,Government of Mozambique,Ansar al-Sunnah,,1977-12-31,2018-07-10,4,3,2446.3,6301.8857,21865.37
185,1758,Mozambique,Government of Mozambique,Ansar al-Sunnah,,1977-12-31,2018-07-10,4,3,2446.3,6301.8857,21865.37
186,1812,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
187,1813,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
188,1814,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
189,1815,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
190,1816,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
191,1817,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
192,1818,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
193,1819,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
194,1820,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
195,1821,India,Government of India,TNV,Tripura,1979-07-09,1979-12-31,3,3,107.84,150.83,838.91
196,1822,India,Government of India,ATTF,Tripura,1979-07-09,1992-10-12,3,3,402.66,570.52,3136.58
197,1823,India,Government of India,"ATTF, NLFT",Tripura,1979-07-09,1997-06-10,3,3,893.27,1423.03,7782.04
198,1824,India,Government of India,NLFT,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
199,1825,India,Government of India,NLFT,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
200,1826,India,Government of India,NLFT,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
201,1827,India,Government of India,NLFT,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
202,1828,India,Government of India,NLFT,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
203,1829,India,Government of India,NLFT-B,Tripura,1979-07-09,1999-09-26,3,3,1277.36,,
204,1842,Somalia,Government of Somalia,SSDF,,1982-01-18,1982-12-31,4,3,140.64,232.41,1046.54
205,1843,Somalia,Government of Somalia,"SNM, SSDF",,1982-01-18,1982-12-31,4,3,140.64,232.41,1046.54
206,1844,Somalia,Government of Somalia,"SNM, SSDF",,1982-01-18,1982-12-31,4,3,140.64,232.41,1046.54
207,1845,Somalia,Government of Somalia,SNM,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
208,1846,Somalia,Government of Somalia,SNM,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
209,1847,Somalia,Government of Somalia,SNM,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
210,1848,Somalia,Government of Somalia,"SNM, SPM",,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
211,1849,Somalia,Government of Somalia,"SNM, SPM, USC/SSA",,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
212,1850,Somalia,Government of Somalia,"SNM, SPM, USC/SNA, USC/SSA",,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
213,1851,Somalia,Government of Somalia,USC/SNA,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
214,1852,Somalia,Government of Somalia,USC/SNA,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
215,1853,Somalia,Government of Somalia,USC/SNA,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
216,1854,Somalia,Government of Somalia,USC/SNA,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
217,1855,Somalia,Government of Somalia,USC/SNA,,1982-01-18,1986-03-03,4,3,226.92,359.5,1709.06
218,1856,Somalia,Government of Somalia,SRRC,,1982-01-18,2001-05-12,4,3,1245.67,2107.43,10821.31
219,1857,Somalia,Government of Somalia,SRRC,,1982-01-18,2001-05-12,4,3,1245.67,2107.43,10821.31
