,location,side_a,start_date,start_date2,region,region name,type_of_conflict,type_of_conflict_name,S&P_500,NASDAQ,Dow_Jones,Year,Month
127,Syria,Government of Syria,3/26/2013,7/25/2013,2,Middle East,4,Internationalized Intrastate ,1691.65,3613.16,15558.83,2013,3
128,Ukraine,Government of Ukraine,4/12/2014,5/2/2014,1,Europe,4,Internationalized Intrastate ,1881.14,4123.9,16512.89,2014,4
129,Ukraine,Government of Ukraine,5/4/2014,6/14/2014,1,Europe,4,Internationalized Intrastate ,1936.16,4310.65,16775.74,2014,5
130,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
131,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
132,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
133,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
134,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
135,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
136,Ukraine,Government of Ukraine,9/17/2014,9/25/2014,1,Europe,4,Internationalized Intrastate ,1982.85,4512.19,17113.15,2014,9
137,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
138,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
139,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
140,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
141,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
142,Afghanistan,Government of Afghanistan,2/9/2015,3/3/2015,3,Asia,4,Internationalized Intrastate ,2071.26,4927.37,17856.78,2015,2
143,Kenya,Government of Kenya,3/13/2015,7/13/2015,4,Africa,4,Internationalized Intrastate ,2076.62,4997.7,17760.41,2015,3
144,Kenya,Government of Kenya,3/13/2015,7/13/2015,4,Africa,4,Internationalized Intrastate ,2076.62,4997.7,17760.41,2015,3
145,Libya,Government of Libya,3/14/2015,3/18/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
146,Libya,Government of Libya,3/14/2015,3/18/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
147,Libya,Government of Libya,3/14/2015,3/18/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
148,Libya,Government of Libya,3/14/2015,3/18/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
149,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
150,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
151,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
152,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
153,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
154,Nigeria,Government of Nigeria,3/15/2015,3/22/2015,4,Africa,4,Internationalized Intrastate ,2108.1,5026.42,18127.65,2015,3
155,Cameroon,Government of Cameroon,3/19/2015,8/11/2015,4,Africa,4,Internationalized Intrastate ,2091.54,5048.24,17477.4,2015,3
156,Cameroon,Government of Cameroon,3/19/2015,4/27/2019,4,Africa,4,Internationalized Intrastate ,2446.3,6301.8857,21865.37,2015,3
157,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
158,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
159,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
160,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
161,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
162,Niger,Government of Niger,3/26/2015,3/30/2015,4,Africa,4,Internationalized Intrastate ,2066.96,4886.94,17763.24,2015,3
163,Mali,Government of Mali,2/4/2017,7/9/2017,4,Africa,4,Internationalized Intrastate ,2425.18,6153.08,21414.34,2017,2
164,Mali,Government of Mali,2/4/2017,7/9/2017,4,Africa,4,Internationalized Intrastate ,2425.18,6153.08,21414.34,2017,2
165,Mali,Government of Mali,2/4/2017,7/9/2017,4,Africa,4,Internationalized Intrastate ,2425.18,6153.08,21414.34,2017,2
166,Mali,Government of Mali,2/4/2017,7/9/2017,4,Africa,4,Internationalized Intrastate ,2425.18,6153.08,21414.34,2017,2
167,Ethiopia,Government of Ethiopia,12/31/1977,12/31/1977,4,Africa,4,Internationalized Intrastate ,95.1,105.05,831.17,1977,12
168,"Tanzania, Uganda",Government of Tanzania,11/11/1978,11/15/1978,4,Africa,2,Interstate ,94.42,113.69,797.73,1978,11
169,"Afghanistan, Russia (Soviet Union)",Government of Afghanistan,12/27/1979,12/27/1979,"1, 3",Asia,2,Interstate ,107.84,150.83,838.91,1979,12
170,"Argentina, United Kingdom",Government of Argentina,4/2/1982,5/2/1982,"1, 5",Americas,2,Interstate ,116.44,184.7,848.36,1982,4
171,"Laos, Thailand",Government of Laos,6/16/1982,12/31/1986,3,Asia,2,Interstate ,246.45,353.2,1927.31,1982,6
172,"Laos, Thailand",Government of Laos,6/16/1982,12/31/1986,3,Asia,2,Interstate ,246.45,353.2,1927.31,1982,6
173,"Laos, Thailand",Government of Laos,6/16/1982,12/31/1986,3,Asia,2,Interstate ,246.45,353.2,1927.31,1982,6
174,"Chad, Nigeria",Government of Chad,4/18/1983,4/24/1983,4,Africa,2,Interstate ,160.42,288.55,1196.3,1983,4
175,"Grenada, United States of America",Government of Grenada,10/25/1983,10/25/1983,5,Americas,2,Interstate ,163.37,276.14,1223.48,1983,10
176,"Burkina Faso, Mali",Government of Burkina Faso,12/25/1985,12/26/1985,4,Africa,2,Interstate ,209.61,322.8,1543.0,1985,12
177,"Chad, Libya",Government of Chad,8/8/1987,8/8/1987,4,Africa,2,Interstate ,323.0,443.6,2592.0,1987,8
178,"Panama, United States of America",Government of Panama,12/16/1989,12/23/1989,5,Americas,2,Interstate ,347.42,444.6,2711.39,1989,12
179,"Iraq, Kuwait",Government of Iraq,8/2/1990,8/2/1990,2,Middle East,2,Interstate ,344.86,417.5,2809.65,1990,8
180,"Iraq, Kuwait",Government of Iraq,8/2/1990,8/2/1990,2,Middle East,2,Interstate ,344.86,417.5,2809.65,1990,8
181,"Cameroon, Nigeria",Government of Cameroon,2/18/1994,5/7/1996,4,Africa,2,Interstate ,652.09,1202.76,5518.14,1994,2
182,"Ecuador, Peru",Government of Ecuador,1/26/1995,1/31/1995,5,Americas,2,Interstate ,478.65,772.06,3928.64,1995,1
183,"Eritrea, Ethiopia",Government of Eritrea,5/6/1998,5/31/1998,4,Africa,2,Interstate ,1090.82,1778.87,8899.95,1998,5
184,"Eritrea, Ethiopia",Government of Eritrea,5/6/1998,5/31/1998,4,Africa,2,Interstate ,1090.82,1778.87,8899.95,1998,5
185,"Eritrea, Ethiopia",Government of Eritrea,5/6/1998,5/31/1998,4,Africa,2,Interstate ,1090.82,1778.87,8899.95,1998,5
186,"Eritrea, Ethiopia",Government of Eritrea,5/6/1998,6/13/2016,4,Africa,2,Interstate ,2096.07,4894.55,17865.34,1998,5
187,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,10/7/2001,10/7/2001,"1, 3, 5",Asia,2,Interstate ,1071.38,1605.3,9119.77,2001,10
188,"Australia, Iraq, United Kingdom, United States of America","Government of Australia, Government of United Kingdom, Government of United States of America",3/20/2003,3/23/2003,"1, 2, 3, 5",Americas,2,Interstate ,895.89,1421.84,8521.97,2003,3
189,"Djibouti, Eritrea",Government of Djibouti,6/10/2008,6/11/2008,4,Africa,2,Interstate ,1357.5,2454.5,12307.35,2008,6
190,"South Sudan, Sudan",Government of South Sudan,3/27/2012,3/27/2012,4,Africa,2,Interstate ,1408.47,3091.57,13212.04,2012,3
191,India,Government of India,5/29/1997,11/15/2012,3,Asia,3,Intrastate ,1359.88,2853.13,12588.31,1997,5
192,India,Government of India,5/29/1997,7/1/2014,3,Asia,3,Intrastate ,1985.44,4485.93,17068.26,1997,5
193,Sudan,Government of Sudan,5/1/2011,5/19/2011,4,Africa,3,Intrastate ,1333.27,2803.32,12512.04,2011,5
194,South Sudan,Government of South Sudan,8/20/2011,8/20/2011,4,Africa,3,Intrastate ,1123.53,2341.84,10817.65,2011,8
